id,identificador,ubicacion,latitud,longitud,municipio_id,provincia_id,id_departamento,error
1109,BUE069-03,,0,0,BUE069,AR-B,1263,'BUE069' is not in list
402,SGO057-01,Punto Digital,-26.196.998,-64.242.959,SGO057,AR-G,1631,'SGO057' is not in list
1190,RNO035-01,,0,0,RNO035,AR-R,1578,'RNO035' is not in list
295,RNO035-02,,-41.632.620,-65.026.649,RNO035,AR-R,1578,'RNO035' is not in list
865,NEU025-01,ETON,-38.978.936,-68.053.433,NEU025,AR-Q,1556,'NEU025' is not in list
866,NEU025-02,Observatorio,-38.955.628,-68.062.727,NEU025,AR-Q,1556,'NEU025' is not in list
987,NEU025-03,Plazoleta Estados Arabes,-38.949.086,-68.059.103,NEU025,AR-Q,1556,'NEU025' is not in list
177,NEU025-04,Plaza de las Banderas,-38.937.717,-68.059.074,NEU025,AR-Q,1556,'NEU025' is not in list
170,NEU025-05,Paseo de la Costa - Edificio Celebrar,-38.951.811,-68.059.456,NEU025,AR-Q,1556,'NEU025' is not in list
169,NEU025-06,ECOESTACION (Sarmiento 80),-38.951.811,-68.059.456,NEU025,AR-Q,1556,'NEU025' is not in list
167,NEU025-07,Parque Central - MNBA,-38.955.323,-68.062.438,NEU025,AR-Q,1556,'NEU025' is not in list
165,NEU025-08,NIDO TOMA NORTE,-38.925.722,-68.115.111,NEU025,AR-Q,1556,'NEU025' is not in list
172,NEU025-09,MAUSOLEO M. OLASCOAGA,-38.937.587,-68.059.188,NEU025,AR-Q,1556,'NEU025' is not in list
173,NEU025-10,Parque Central - Sala Emilio Sarco,-38.956.392,-68.061.383,NEU025,AR-Q,1556,'NEU025' is not in list
174,NEU025-11,Centro - Monumento San Martin 1,-38.956.392,-68.061.383,NEU025,AR-Q,1556,'NEU025' is not in list
175,NEU025-12,Centro - Monumento San Martin 2,-38.978.936,-68.053.433,NEU025,AR-Q,1556,'NEU025' is not in list
166,NEU025-13,Parque Central,-38.956.392,-68.061.383,NEU025,AR-Q,1556,'NEU025' is not in list
171,NEU025-14,Alto Godoy,-38.935.305,-68.237.751,NEU025,AR-Q,1556,'NEU025' is not in list
652,BUE067-01,FPII,-34.715.680,-58.417.461,BUE067,AR-B,1261,1261 is not in list
